Inference for Stan model: randomwalk_kalman_model
1 chains: each with iter=(100000); warmup=(0); thin=(1); 100000 iterations saved.

Warmup took (2.1) seconds, 2.1 seconds total
Sampling took (523) seconds, 8.7 minutes total

                    Mean     MCSE   StdDev        5%       50%    95%    N_Eff  N_Eff/s    R_hat
m[60]           8.6e-001 2.8e-004 5.4e-002  7.6e-001  8.7e-001   0.92 3.8e+004 7.2e+001 1.0e+000
m[61]           8.7e-001 2.8e-004 4.9e-002  7.8e-001  8.9e-001   0.93 3.0e+004 5.8e+001 1.0e+000
m[62]           8.7e-001 2.7e-004 4.9e-002  7.7e-001  8.8e-001   0.92 3.2e+004 6.1e+001 1.0e+000
m[63]           9.2e-001 3.7e-004 5.6e-002  8.0e-001  9.4e-001   0.98 2.4e+004 4.5e+001 1.0e+000
m[64]           8.3e-001 1.9e-004 3.9e-002  7.6e-001  8.5e-001   0.88 4.2e+004 8.0e+001 1.0e+000
m[65]           9.1e-001 3.1e-004 4.8e-002  8.0e-001  9.3e-001   0.96 2.4e+004 4.5e+001 1.0e+000
m[66]           8.9e-001 2.6e-004 3.9e-002  8.0e-001  9.0e-001   0.92 2.3e+004 4.4e+001 1.0e+000
m[67]           9.7e-001 5.0e-004 8.9e-002  8.2e-001  9.8e-001    1.1 3.2e+004 6.1e+001 1.0e+000
m[68]           1.0e+000 6.4e-004 1.2e-001  8.3e-001  1.0e+000    1.2 3.5e+004 6.7e+001 1.0e+000
m[69]           1.1e+000 7.3e-004 1.3e-001  8.5e-001  1.1e+000    1.3 3.2e+004 6.1e+001 1.0e+000
m[70]           1.1e+000 6.9e-004 1.2e-001  8.5e-001  1.1e+000    1.2 3.1e+004 5.9e+001 1.0e+000
m[71]           1.0e+000 6.0e-004 1.0e-001  8.4e-001  1.0e+000    1.2 2.8e+004 5.4e+001 1.0e+000
m[72]           1.0e+000 4.9e-004 7.8e-002  8.4e-001  1.0e+000    1.1 2.5e+004 4.8e+001 1.0e+000
m[73]           1.0e+000 5.2e-004 8.3e-002  8.4e-001  1.0e+000    1.1 2.6e+004 4.9e+001 1.0e+000
m[74]           9.1e-001 2.8e-004 4.5e-002  8.2e-001  9.3e-001   0.96 2.6e+004 5.0e+001 1.0e+000
m[75]           9.5e-001 3.4e-004 5.1e-002  8.4e-001  9.7e-001    1.0 2.3e+004 4.3e+001 1.0e+000
m[76]           9.1e-001 2.6e-004 4.3e-002  8.2e-001  9.3e-001   0.95 2.7e+004 5.2e+001 1.0e+000
m[77]           9.2e-001 2.8e-004 4.3e-002  8.3e-001  9.4e-001   0.97 2.4e+004 4.6e+001 1.0e+000
m[78]           1.2e+000 1.1e-003 2.0e-001  8.9e-001  1.2e+000    1.6 3.3e+004 6.3e+001 1.0e+000
m[79]           1.1e+000 6.3e-004 1.0e-001  8.8e-001  1.1e+000    1.2 2.6e+004 4.9e+001 1.0e+000
m[80]           1.1e+000 7.1e-004 1.2e-001  8.8e-001  1.1e+000    1.3 2.7e+004 5.2e+001 1.0e+000
m[81]           1.1e+000 6.7e-004 1.1e-001  8.8e-001  1.1e+000    1.2 2.6e+004 5.0e+001 1.0e+000
m[82]           1.1e+000 8.2e-004 1.4e-001  8.9e-001  1.2e+000    1.4 2.9e+004 5.6e+001 1.0e+000
m[83]           1.2e+000 8.5e-004 1.4e-001  9.1e-001  1.2e+000    1.4 2.8e+004 5.3e+001 1.0e+000
m[84]           1.2e+000 9.4e-004 1.6e-001  9.2e-001  1.2e+000    1.4 2.9e+004 5.5e+001 1.0e+000
m[85]           1.2e+000 8.3e-004 1.4e-001  9.1e-001  1.2e+000    1.4 2.7e+004 5.1e+001 1.0e+000
m[86]           1.2e+000 8.4e-004 1.4e-001  9.1e-001  1.2e+000    1.4 2.7e+004 5.1e+001 1.0e+000
m[87]           1.3e+000 1.0e-003 1.7e-001  9.4e-001  1.3e+000    1.5 2.8e+004 5.3e+001 1.0e+000
m[88]           1.1e+000 4.4e-004 6.7e-002  9.0e-001  1.1e+000    1.1 2.3e+004 4.5e+001 1.0e+000
m[89]           9.5e-001 3.4e-004 8.0e-002  8.0e-001  9.7e-001    1.0 5.6e+004 1.1e+002 1.0e+000
m[90]           8.5e-001 4.9e-004 1.3e-001  5.8e-001  8.9e-001   0.95 7.1e+004 1.4e+002 1.0e+000
m[91]           7.0e-001 8.7e-004 2.2e-001  2.6e-001  7.9e-001   0.89 6.3e+004 1.2e+002 1.0e+000
m[92]           6.7e-001 8.2e-004 1.9e-001  2.8e-001  7.3e-001   0.85 5.2e+004 9.9e+001 1.0e+000
m[93]           6.6e-001 7.3e-004 1.6e-001  3.5e-001  7.0e-001   0.83 4.6e+004 8.9e+001 1.0e+000
m[94]           7.2e-001 5.4e-004 1.2e-001  4.9e-001  7.5e-001   0.85 4.7e+004 8.9e+001 1.0e+000
m[95]           7.1e-001 5.5e-004 1.2e-001  4.8e-001  7.4e-001   0.84 4.6e+004 8.7e+001 1.0e+000
m[96]           7.2e-001 5.2e-004 1.1e-001  5.1e-001  7.4e-001   0.84 4.5e+004 8.7e+001 1.0e+000
m[97]           7.2e-001 4.5e-004 9.1e-002  5.7e-001  7.3e-001   0.84 4.1e+004 7.9e+001 1.0e+000
m[98]           7.5e-001 3.6e-004 7.3e-002  6.3e-001  7.5e-001   0.84 4.0e+004 7.7e+001 1.0e+000
m[99]           7.5e-001 3.4e-004 6.9e-002  6.4e-001  7.6e-001   0.84 4.0e+004 7.7e+001 1.0e+000
m[100]          7.5e-001 3.5e-004 6.9e-002  6.4e-001  7.6e-001   0.84 4.0e+004 7.7e+001 1.0e+000
P[1]            7.1e-001 4.7e-005 1.0e-002  7.0e-001  7.1e-001   0.73 4.9e+004 9.4e+001 1.0e+000
P[2]            2.7e-001 2.2e-004 4.7e-002  2.0e-001  2.7e-001   0.36 4.5e+004 8.6e+001 1.0e+000
P[3]            1.7e-001 1.7e-004 3.7e-002  1.2e-001  1.7e-001   0.24 4.9e+004 9.4e+001 1.0e+000
P[4]            1.7e-001 1.5e-004 3.5e-002  1.2e-001  1.7e-001   0.23 5.5e+004 1.1e+002 1.0e+000
P[5]            1.7e-001 1.5e-004 3.6e-002  1.2e-001  1.6e-001   0.23 6.2e+004 1.2e+002 1.0e+000
P[6]            1.2e-001 1.2e-004 2.9e-002  8.6e-002  1.2e-001   0.18 5.7e+004 1.1e+002 1.0e+000
P[7]            1.0e-001 1.1e-004 2.5e-002  6.8e-002  9.9e-002   0.15 5.8e+004 1.1e+002 1.0e+000
P[8]            1.1e-001 1.2e-004 3.1e-002  6.8e-002  1.0e-001   0.16 6.6e+004 1.3e+002 1.0e+000
P[9]            9.0e-002 1.1e-004 2.6e-002  5.7e-002  8.5e-002   0.14 6.1e+004 1.2e+002 1.0e+000
P[10]           9.4e-002 1.3e-004 3.3e-002  5.7e-002  8.7e-002   0.16 6.6e+004 1.3e+002 1.0e+000
P[11]           8.2e-002 1.1e-004 2.7e-002  5.0e-002  7.6e-002   0.13 6.0e+004 1.1e+002 1.0e+000
P[12]           8.9e-002 1.5e-004 3.7e-002  5.0e-002  8.0e-002   0.16 6.4e+004 1.2e+002 1.0e+000
P[13]           9.3e-002 1.7e-004 4.4e-002  5.0e-002  8.1e-002   0.18 6.4e+004 1.2e+002 1.0e+000
P[14]           1.0e-001 2.1e-004 5.3e-002  5.1e-002  8.4e-002   0.20 6.5e+004 1.2e+002 1.0e+000
P[15]           8.3e-002 1.5e-004 3.5e-002  4.4e-002  7.4e-002   0.15 5.6e+004 1.1e+002 1.0e+000
P[16]           9.0e-002 1.8e-004 4.5e-002  4.5e-002  7.7e-002   0.18 6.1e+004 1.2e+002 1.0e+000
P[17]           9.4e-002 2.1e-004 5.1e-002  4.5e-002  7.9e-002   0.19 6.1e+004 1.2e+002 1.0e+000
P[18]           1.0e-001 2.4e-004 6.0e-002  4.5e-002  8.2e-002   0.22 6.1e+004 1.2e+002 1.0e+000
P[19]           8.2e-002 1.7e-004 3.9e-002  4.0e-002  7.2e-002   0.16 5.3e+004 1.0e+002 1.0e+000
P[20]           7.3e-002 1.4e-004 3.2e-002  3.6e-002  6.5e-002   0.13 5.1e+004 9.8e+001 1.0e+000
P[21]           8.0e-002 1.8e-004 4.2e-002  3.7e-002  6.9e-002   0.16 5.5e+004 1.0e+002 1.0e+000
P[22]           7.1e-002 1.5e-004 3.3e-002  3.4e-002  6.3e-002   0.14 5.2e+004 9.9e+001 1.0e+000
P[23]           7.6e-002 1.8e-004 4.1e-002  3.4e-002  6.5e-002   0.16 5.4e+004 1.0e+002 1.0e+000
P[24]           8.3e-002 2.2e-004 5.1e-002  3.4e-002  6.9e-002   0.18 5.6e+004 1.1e+002 1.0e+000
P[25]           9.0e-002 2.5e-004 6.1e-002  3.4e-002  7.2e-002   0.21 5.9e+004 1.1e+002 1.0e+000
P[26]           7.5e-002 1.8e-004 4.0e-002  3.2e-002  6.5e-002   0.15 5.1e+004 9.7e+001 1.0e+000
P[27]           8.0e-002 2.1e-004 4.7e-002  3.1e-002  6.7e-002   0.17 5.3e+004 1.0e+002 1.0e+000
P[28]           8.4e-002 2.3e-004 5.3e-002  3.1e-002  7.0e-002   0.19 5.4e+004 1.0e+002 1.0e+000
P[29]           9.1e-002 2.7e-004 6.2e-002  3.1e-002  7.3e-002   0.21 5.5e+004 1.1e+002 1.0e+000
P[30]           7.6e-002 1.9e-004 4.2e-002  2.9e-002  6.6e-002   0.16 4.9e+004 9.3e+001 1.0e+000
P[31]           8.3e-002 2.3e-004 5.1e-002  2.9e-002  6.9e-002   0.18 5.2e+004 9.9e+001 1.0e+000
P[32]           8.7e-002 2.5e-004 5.7e-002  2.9e-002  7.1e-002   0.20 5.3e+004 1.0e+002 1.0e+000
P[33]           9.0e-002 2.6e-004 6.1e-002  2.9e-002  7.3e-002   0.21 5.3e+004 1.0e+002 1.0e+000
P[34]           9.3e-002 2.8e-004 6.4e-002  2.9e-002  7.5e-002   0.22 5.3e+004 1.0e+002 1.0e+000
P[35]           9.6e-002 2.9e-004 6.7e-002  2.9e-002  7.7e-002   0.23 5.2e+004 1.0e+002 1.0e+000
P[36]           1.0e-001 3.3e-004 7.5e-002  2.9e-002  8.0e-002   0.25 5.3e+004 1.0e+002 1.0e+000
P[37]           1.0e-001 3.3e-004 7.5e-002  2.9e-002  8.2e-002   0.25 5.2e+004 1.0e+002 1.0e+000
P[38]           1.0e-001 3.3e-004 7.6e-002  2.9e-002  8.3e-002   0.25 5.2e+004 9.9e+001 1.0e+000
P[39]           8.2e-002 2.2e-004 4.7e-002  2.7e-002  7.2e-002   0.17 4.5e+004 8.6e+001 1.0e+000
